"ID";"post_author";"post_date";"post_date_gmt";"post_content";"post_title";"post_category";"post_excerpt";"post_status";"comment_status";"ping_status";"post_password";"post_name";"to_ping";"pinged";"post_modified";"post_modified_gmt";"post_content_filtered";"post_parent";"guid";"menu_order";"post_type";"post_mime_type";"comment_count"
3;2;"2008-03-16 15:58:03";"2008-03-16 23:58:03";"Well...the letters section. But a full page there!

HRD is a spin off or Hot Rod Magazine. It is devoted to retro hot rods and customs. The May issue...

<a href=""http://studeute.steinkamp.us/wp-content/uploads/2008/03/HRD3.jpg""><img class=""alignnone size-medium wp-image-480"" src=""http://studeute.steinkamp.us/wp-content/uploads/2008/03/HRD3-442x600.jpg"" alt="""" width=""442"" height=""600"" /></a>
<p style=""text-align: left;"">...has some of the correspondence I've been exchanging with the editors. Here it is...</p>
<a href=""http://studeute.steinkamp.us/wp-content/uploads/2008/03/HRD.jpg""><img class=""alignnone size-medium wp-image-481"" src=""http://studeute.steinkamp.us/wp-content/uploads/2008/03/HRD-411x600.jpg"" alt="""" width=""411"" height=""600"" /></a>
<p style=""text-align: left;"">The editors want to do a feature on the car when it is finished. Motivation to get my rear in gear and get going on it. It will get a '55 President V8, 3 speed OD with a Jeep top shift conversion courtesy of Gord Richmond. I've got the 2x2 intake with a couple of backdraft Stromberg WW's set to go. Should be a neat old skool kustom in a few months with any luck.</p>";"The Ute makes Hot Rod Deluxe";0;"";"publish";"open";"open";"";"the-ute-makes-hot-rod-deluxe";"";"";"2017-11-26 14:01:21";"2017-11-26 22:01:21";"";0;"http://www.studeute.com/?p=3";0;"post";"";0
34;2;"2008-12-05 15:20:11";"2008-12-05 23:20:11";"<iframe width=""600"" height=""500"" border=""0"" style=""border:1px solid #ccc;"" src=""http://www.dipity.com/ddstnkmp/The_Ute/embed_tl?""></iframe>";"Timeline";0;"";"inherit";"open";"open";"";"32-revision-2";"";"";"2008-12-05 15:20:11";"2008-12-05 23:20:11";"";32;"http://www.studeute.com/?p=34";0;"revision";"";0
35;2;"2008-12-05 18:39:54";"2008-12-06 02:39:54";"Delivered the Ute yesterday to Howdy's Place in Fremont, CA for the interior.  Here's Howdy Ledbetter...

<img src=""http://farm4.static.flickr.com/3276/3086091194_8c73380698.jpg?v%200"" border=""0"" alt="""" />

Here's the Ute...

<img src=""http://farm4.static.flickr.com/3294/3085253071_7faebf864d.jpg?v%200"" border=""0"" alt="""" />

<img src=""http://farm4.static.flickr.com/3195/3085253031_d12abd0ae0.jpg?v%200"" border=""0"" alt="""" />

Howdy talked me into some changes to my original plan.  Should be about 3 weeks for him to do the job.";"Ute goes to Howdy's Place";0;"";"publish";"open";"open";"";"ute-goes-to-howdys-place";"";"";"2008-12-05 18:42:02";"2008-12-06 02:42:02";"";0;"http://www.studeute.com/?p=35";0;"post";"";0
4;1;"2008-12-05 14:42:38";"2008-12-05 22:42:38";"Well...the letters section. But a full page there!

HRD is a spin off or Hot Rod Magazine. It is devoted to retro hot rods and customs. The May issue...
<p style=""text-align: center;""><img class=""aligncenter"" title=""Scan"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/HRD3.jpg"" alt="""" width=""453"" height=""614"" /></p>
<p style=""text-align: left;"">...has some of the correspondence I've been exchanging with the editors. Here it is...</p>
<p style=""text-align: center;""><img class=""aligncenter"" title=""Scan 2"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/HRD.jpg"" alt="""" width=""439"" height=""640"" /></p>
<p style=""text-align: left;"">The editors want to do a feature on the car when it is finished. Motivation to get my rear in gear and get going on it. It will get a '55 President V8, 3 speed OD with a Jeep top shift conversion courtesy of Gord Richmond. I've got the 2x2 intake with a couple of backdraft Stromberg WW's set to go. Should be a neat old skool kustom in a few months with any luck.</p>";"The Ute makes Hot Rod Deluxe";0;"";"inherit";"open";"open";"";"3-revision-v1";"";"";"2008-12-05 14:42:38";"2008-12-05 22:42:38";"";3;"http://www.studeute.com/?p=4";0;"revision";"";0
5;1;"2008-12-05 14:43:03";"2008-12-05 22:43:03";"Well...the letters section. But a full page there!

HRD is a spin off or Hot Rod Magazine. It is devoted to retro hot rods and customs. The May issue...
<p style=""text-align: center;""><img class=""aligncenter"" title=""Scan"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/HRD3.jpg"" alt="""" width=""453"" height=""614"" /></p>
<p style=""text-align: left;"">...has some of the correspondence I've been exchanging with the editors. Here it is...</p>
<p style=""text-align: center;""><img class=""aligncenter"" title=""Scan 2"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/HRD.jpg"" alt="""" width=""439"" height=""640"" /></p>
<p style=""text-align: left;"">The editors want to do a feature on the car when it is finished. Motivation to get my rear in gear and get going on it. It will get a '55 President V8, 3 speed OD with a Jeep top shift conversion courtesy of Gord Richmond. I've got the 2x2 intake with a couple of backdraft Stromberg WW's set to go. Should be a neat old skool kustom in a few months with any luck.</p>";"The Ute makes Hot Rod Deluxe";0;"";"inherit";"open";"open";"";"3-revision-v1";"";"";"2008-12-05 14:43:03";"2008-12-05 22:43:03";"";3;"http://www.studeute.com/?p=5";0;"revision";"";0
95;2;"2008-12-08 15:46:13";"2008-12-08 23:46:13";"I cruise <em>Craig's List</em> fairly frequently.  Last night I saw a minor ad (no pictures) for a 1953 Studebaker Custom.  Advertised as being in the 1959 Oakland Roadster Show and reported to have been done by George Barris.

I'm a sucker for an outing to see a ""different"" Studebaker and this one was close...Anacortes.  I took Jon along to help evaluate the car.  This is what we saw...

<a href=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-0055.jpg""><img class=""alignnone size-full wp-image-106"" title=""stude-a-mino-0055"" src=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-0055.jpg"" alt="""" width=""500"" height=""375"" /></a>

<a href=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-003.jpg""><img class=""alignnone size-full wp-image-108"" title=""stude-a-mino-003"" src=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-003.jpg"" alt="""" width=""500"" height=""375"" /></a>

<a href=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-001.jpg""><img class=""alignnone size-full wp-image-109"" title=""stude-a-mino-001"" src=""http://studeute.steinkamp.us/wp-content/uploads/2008/12/stude-a-mino-001.jpg"" alt="""" width=""500"" height=""375"" /></a>

It was actually attractive.  Fairly straight, no rust.  Real ugly wheels, tires and stance.  The guy wanted $9k for it with a worn out Chevy V8 and a 6 speed he intended to install in it.  I told him I'd think about it.";"Studebaker Custom For Sale";0;"";"inherit";"open";"open";"";"91-autosave";"";"";"2008-12-08 15:46:13";"2008-12-08 23:46:13";"";91;"http://www.studeute.com/2008/12/08/91-autosave/";0;"revision";"";0
96;2;"2008-12-08 15:33:20";"2008-12-08 23:33:20";"";"stude-a-mino-005";0;"";"inherit";"open";"open";"";"stude-a-mino-005";"";"";"2008-12-08 15:33:20";"2008-12-08 23:33:20";"";91;"http://www.studeute.com/wp-content/uploads/2008/12/stude-a-mino-005.jpg";0;"attachment";"image/jpeg";0
97;2;"2008-12-08 15:34:03";"2008-12-08 23:34:03";"";"stude-a-mino-0051";0;"";"inherit";"open";"open";"";"stude-a-mino-0051";"";"";"2008-12-08 15:34:03";"2008-12-08 23:34:03";"";91;"http://www.studeute.com/wp-content/uploads/2008/12/stude-a-mino-0051.jpg";0;"attachment";"image/jpeg";0
102;2;"2008-12-08 15:36:06";"2008-12-08 23:36:06";"I cruise <em>Craig's List</em> fairly frequently.  Last night I saw a minor ad (no pictures) for a 1953 Studebaker Custom.  Advertised as being in the 1959 Oakland Roadster Show and reported to have been done by George Barris.

I'm a sucker for an outing to see a ""different"" Studebaker and this one was close...Anacortes.  I took Jon along to help evaluate the car.  This is what we saw...

It was actually attractive.  Fairly straight, no rust.  Real ugly wheels, tires and stance.  The guy wanted $9k for it with a worn out Chevy V8 and a 6 speed he intended to install in it.  I told him I'd think about it.";"Studebaker Custom For Sale";0;"";"inherit";"open";"open";"";"91-revision-6";"";"";"2008-12-08 15:36:06";"2008-12-08 23:36:06";"";91;"http://www.studeute.com/2008/12/08/91-revision-6/";0;"revision";"";0
98;2;"2008-12-08 15:24:12";"2008-12-08 23:24:12";"I cruise <em>Craig's List</em> fairly frequently.  Last night I saw a minor ad (no pictures) for a 1953 Studebaker Custom.  Advertised as being in the 1959 Oakland Roadster Show and reported to have been done by George Barris.

I'm a sucker for an outing to see a ""different"" Studebaker and this one was close...Anacortes.  I took Jon along to help evaluate the car.  This is what we saw...

<img class=""alignnone"" title=""stude a mino"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/Stude-a-mino005.jpg?t=1228777712"" alt="""" width=""640"" height=""480"" />

<img class=""alignnone"" title=""stude a mino"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/Stude-a-mino003.jpg?t=1228778097"" alt="""" width=""922"" height=""691"" />

<img class=""alignnone"" title=""stude a mino"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/Stude-a-mino004.jpg?t=1228778211"" alt="""" width=""1024"" height=""768"" />

http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/Stude-a-mino001.jpg?t=1228778250<img class=""alignnone"" title=""stude a mino"" src=""http://i149.photobucket.com/albums/s66/ddstnkmp/Stude-a-mino/Stude-a-mino001.jpg?t=1228778250"" alt="""" width=""1024"" height=""768"" />

It was actually attractive.  Fairly straight, no rust.  Real ugly wheels, tires and stance.  The guy wanted $9k for it with a worn out Chevy V8 and a 6 speed he intended to install in it.  I told him I'd think about it.";"Studebaker Custom For Sale";0;"";"inherit";"open";"open";"";"91-revision-4";"";"";"2008-12-08 15:24:12";"2008-12-08 23:24:12";"";91;"http://www.studeute.com/2008/12/08/91-revision-4/";0;"revision";"";0
